MAE,RMSE,MAPE,english_name,account_id
10427.333333333334,18060.671120789877,4.696053451446796e+19,Bldgs. & Improv.,1770D
8695.333333333334,15060.75912208058,3.9160299959862256e+19,"Buildings & 
Improvements",11770D
1732.0,2999.9119987092954,7.800234554605699e+18,Bldgs. & Improv.,1780D
30413.777777777777,48634.39146210106,3.588868503055688e+18,Taxes - Real Estate,8460D
490.1111111111112,538.1882157345658,1.943553439189668e+18,Travel & Entertainment,8290D
27824.11111111111,46755.537634000575,1.2560038960777715e+18,Taxes - Real Estate,8461D
1394.777777777778,1449.5341397229051,1.2560038960777715e+18,Taxes - Real Estate,8463D
378.77777777777777,389.9212171138621,9.407519221618368e+17,Travel & Entertainment,8291D
3231.6666666666665,5212.389695075891,8.261603316431877e+17,Company Vehicle Expense,8661D
180.0,180.0,8.106479329266893e+17,Travel & Entertainment ,8293D
